,rating,title,review,date,isEdited,userName,developerResponse,Company_name
0,5,Will only order delivery with the app!,"We are avid DoorDash customers and order from them sometimes a few times a week, but we HATE it when we want to modify menu items and the DoorDash app won’t allow us to make the same changes as we could ordering at the drive thru! That’s why I am SO HAPPY I found the Burger King app for us! (I wasn’t used to using apps specific to each restaurant until now) DoorDash doesn’t allow simple changes like extra cheese, and for Burger King you can’t even add special requests.  So luckily the Burger King app allows you to delete ingredients, add extra or make it light. EVERY INGREDIENT on EVERY SANDWICH, not just the common extra cheese or no pickle! Thank you, Burger King, for remembering “order it your way” should be possible no matter how we are getting our order!!!

BTW, I’ve tried to post this for what must be TWENTY TIMES or more by now BUT every time I try it tells me my nickname has already been taken! Pretty ridiculous when I enter something like “frustrated no nicknames are left” and a message pops up that it’s taken! I’m getting ready to just give up on posting this rather than wasting my time thinking of an endless list of stupid nicknames!",2021-03-20 19:31:26,False,Ugh!l!,,Burger King
1,4,What’s up?,"What’s up Burger King? I’m 70 and been eating your meals for many years, from California to Arizona, never have I ever had an issue with any of your restaurants and or the way you operate your business, such as specials that comes from the corporate office, manager specials, coupons, specials that are on television, until now, the end of January 2022 and February 1st. I saw on television and was impressed with the special $5.00 meal, well I’m sad to report to you that not all of your restaurants are honoring the price, I’ve been told from two restaurants that the meal is in there system for $6.00 and they can’t and won’t change the price and honor your advertisement, now one dollar plus the tax isn’t a lot of money, but some of us are on a fixed income and every dollar is more valuable than a few years ago, but that’s really not the point, you at corporate take the time and money to run this special for your customers and a number of your restaurants don’t honor the price you set, now, that makes me question your operation of business, how can I trust your organization if your employees are not willing to observe what comes out of corporate? As a long standing customer, I hope you get this under control, thank you for letting me express my thoughts. ☹️",2022-02-01 21:44:43,False,Al 2525,,Burger King
2,1,WORST FOOD APP EVER,"I know this won’t be seen through all the fake five star reviews but this is the WORST food app I have ever used… even worse than Chick Fila. It doesn’t tell you until after you pay for your order that the coupon/deal you used wasn’t for the location you went to, DON’T SHOW THE COUPON IF IT’S NOT AVAILABLE AT THAT LOCATION, I lost $22 on that order. When I complained they gave me a $10 off coupon I could only use through the app. I used it last night with a gift card and it didn’t take $10 off instead it charged me $1 to use the support coupon… ARE YOU SERIOUS?!? I have screenshots of my receipt showing this. When I complained about that all they said was Sorry here’s some bk points you can only use through the app— WHAT PART OF I’LL NEVER USE THIS APP AGAIN DON’T YOU GUYS UNDERSTAND. And the workers say that they have no control over the app and they can’t fix anything for you when the app messes up and that they’re constantly being yelled at by customers because there’s always an issue when someone uses the app to order. The people who chose this app and its programmers should look into whoever did McDonald’s app because theirs is flawless and if something messes up the restaurant is able to fix it themselves. DO NOT DOWNLOAD THIS APP UNLESS YOU WANT TO LOSE MONEY!!!!!!! I don’t think I will go back to Burger King simply because of my experiences with the app and the horrible customer service that comes with it",2022-08-13 11:05:11,False,hlr83,"{'id': 31451207, 'body': 'We’re bummed to hear that you didn’t have the most ideal experience. Hit us up at BK.com/support so we can look into this for you.', 'modified': '2022-08-14T18:04:08Z'}",Burger King
3,5,Technical Issues with App,"EDIT: I was contacted a day after writing my review. Despite my frustration at the time, I am glad that the BK Team took time to reach out and resolve the issue. Despite the fixes the app may need, their act of taking accountability was superb.

To the BK Tech Team, if you’re reading this please contact me.
I’ve used the BK App for more than a year now and my experiences have varied. There’s been times that I’ve made an order through the app with absolutely no problems. However, there’s been many more times that the app has given me some sort of issue. Based on the reviews, it’s clear that the app needs PLENTY of work.
Now you may be wondering why I decided to post a review until now. That’s because I now have several screen recordings of the app providing issues. Today, specifically, I was using a coupon that required the purchase of another item. The coupon and additional item were visible in My Cart/Checkout (and in the screen recording). However, after paying, the order completely erased the coupon. Given I was on my lunch break for work, it made a lovely afternoon, very inconvenient.",2020-06-22 06:29:36,True,EFRCZBNKFd,"{'id': 16032427, 'body': 'We’re bummed to hear that you didn’t have the most ideal experience. Hit us up at BK.com/contact-support so we can look into this for you.', 'modified': '2020-06-22T06:29:36Z'}",Burger King
4,1,Frustrating and useless,"I’ve been using the app on and off for about a year or two for the only reason that it either works perfectly or it just doesn’t work and takes up storage space on your phone and wastes your time opening and trying to refresh. Recently the app has been useless and disappointing because where I live I don’t get the paper or mailed in coupons so I rely on the app to get some good deals but what’s the point when it doesn’t work, not even to peak at the coupons I have picked eating at other restaurants then going to BK only because the app doesn’t work especially right now at these times of the virus you can’t have even order online you get through all the trouble of adding everything all the coupons and food only for it to tell you “your order cannot be completed try again” and then the app takes all of the food off your cart and forces you to redo everything only for it to do the same thing and not make any progress towards an order. There have been days where I’ve thought I’d rather go to Arby’s then Burger King and that’s crazy because the only good thing there is the curly fries but if their app works better it’s worth filling up on then going through all that pain. Please developers work on your app fix all these issues the app has I’m sure I’m not the only one with these problems.",2020-12-14 22:06:32,False,Papaericano,"{'id': 19792049, 'body': 'We’re bummed to hear that you didn’t have the most ideal experience. Hit us up at BK.com/contact-support so we can look into this for you.', 'modified': '2020-12-16T02:26:32Z'}",Burger King
5,1,They completely screwed up the UX in this “update”,"Dear reader : please excuse my hangry tone. There are many more things bothering me (same as the rest of us)than this app. BK app just becomes my lightening rod today.

They completely screwed up the UX. It is now hard to customize a whopper. It used to have a simple highlight the topping option. Now it’s a confusing more, regular, light option with pluses and minuses around it. Also I can’t see where my cart is. What have I ordered? I click “order” and I’m dumped back to the beginning “where are you eating today”. Whoever did this UX should be fired. Here are some tips for these amateurs : 1. Have sensible defaults, especially based on what I’ve ordered before 2. Make it clear what my current order state is 3. Make it simple to continue my ordering from my order state screen. You guys don’t understand that UX in a app like this is to guide me to what I want and not throw me curveballs leaving me baffled and frustrate. Don’t you get it that 80 percent of your orders will come from only semi motivated buyers who won’t make an effort to do more? Rigging hoops for us to jump through will lose you business. I literally walked away from a BK because I couldn’t place an order on the phone and get a deal. Why not just order old school? Because I feel disrespected that you destroyed such a great experience. You must not care if you have my business or not. I got pizza instead.",2019-12-13 18:01:34,False,Dont-make-me-think,,Burger King
6,3,The app is good when it works,"Overall the app is good it’s when it work but doesn’t work that’s the problem the majority of the problem is it’s very glitchy it’s very laggy and for something that should be fixed because it’s 2020 literally all those issues could be easily fixed. I get discounts all the time popping up my notifications however when I click on the notifications it will not let me login it will not let me even look at the menu it just gives me a white screen for hours and hours. this is not a good way to have an app out if you have an out make sure it’s fixed. And another thing if you order from the delivery on the app it does not work because not all their restaurants are not connected to the delivery system. Making me lose a few bucks which is totally unacceptable.

Even if I change my passwords right a few minutes before and then put in the right password it won’t let me login. And if it does show up the login page which it doesn’t anymore. It will take about 30 minutes to see anything it’s not an easy app if you wanted to coupon honestly go online and try to find one or wait until it comes in the mail because that’s a lot quicker.",2020-11-04 23:14:50,False,2000Nat22,"{'id': 18931826, 'body': 'We’re bummed to hear that you didn’t have the most ideal experience. Hit us up at BK.com/contact-support so we can look into this for you.', 'modified': '2020-11-06T03:17:17Z'}",Burger King
7,3,Just needs some bugs fixed,"Overall I like the app. Here are the issues as I see them. When customizing your order, there is no option to remove a normally included condiment. The outings are light, regular and extra. So the diligent employees ask if you meant light or if you wanted the option left off your order. Also, the drink options in combo meals are not complete. The soft drinks are listed but there is not an option to order an iced tea which I believe is the same price. The app says it's checking with the local/chosen store before finalizing the order but it doesn't. Twice I've placed an order that should not have been accepted. One time the store was closed early for cleaning. The other time I ordered a milk shake but their machine was broken. Most recently, the app has been glitchy. Just today I was going to place an order. It took several tried to get to the order or deal screen (the home screen appeared to be nonresponsive). Once I could get to the offer/order screen, it key me choose my order then went to a blank screen and froze (tried more than once). This has been happening more often recently and as I usually place an order just before leaving the house for work, if the app doesn't work I choose another restaurant.",2020-11-01 20:37:29,False,Jorr98,,Burger King
8,5,Bad service to good service,"To be honest I love this app. But I had a bad experience today at a Burger King when they didn’t give me a 2nd package of sauce after I ordered 4 items. They tried to charge me 27¢ and didn’t even give me ketchup. I would’ve complained to company Headquaters but they’re the ones who probably told them they can’t give sauce because of inflation. The manager literally told me “you can’t put sauce on fries”. I personally know she was having a terrible day and trying to abuse her authority on me. That’s exactly what it was, but instead of arguing at all I just took my food and left very calmly. I’m thankful I didn’t turn over a trash there; instead Burger King just lost a customer until they give me a few free meals. I understand trying to save money, but to act the way she did and I’m not even detailing 25% of how bad she was.., that’s unacceptable to me.

Update: Burger King Headquaters helped me out and forwarded my complaint. Hopefully this doesn’t happen to anyone else. I love Burger King!",2022-02-06 23:32:13,True,Mike White 1stMikeWhite,"{'id': 27875362, 'body': 'We’re bummed to hear that you didn’t have the most ideal experience. Hit us up at BK.com/support so we can look into this for you.', 'modified': '2022-02-06T23:32:13Z'}",Burger King
9,3,"Great offers, and a vastly improved app","OLD REVIEW:  So I assume this review will get lost in the sea of other reviews, but here are the specific problems I have noticed.  I ordered a deal which included two sandwiches.  If you customize either sandwich, you can’t customize the other.  But ok whatever.  I wanted to order a strawberry shake, but oops, it’s not on the menu.  The other flavors are, just not strawberry.  Weird.  And I didn’t try it, but it seemed like it was going to allow me to order a root beer, even though I know my local BK doesn’t have it.  I worry about what the employees would decide to substitute.  So, I didn’t really end up with what I wanted, but it was a good deal I guess.  Even though I know my review isn’t going to make it to the CEO’s desk, I expect a lot of these little annoyances will get ironed out in the future, and new ones will appear.  That’s how it is with app development these days.

NEW REVIEW:  Yay, they actually fixed most of the little issues I mentioned.  Did they read *my* review?  Haha, I doubt it.  Otherwise I’d be able to order a strawberry shake!  It’s a minor annoyance though - they still get 5 stars for great improvement in the latest version.

LATEST:  App is broken.  Can’t order from any bk listed.  Really bad timing too.",2020-11-24 20:08:53,False,j m o o r e 1 0 4,,Burger King
