,userName,review,title,rating,isEdited,date,developerResponse,Company_name
0,Madison7015,"Since when has KFC had an app?! I feel the need to hop in my cream/tan (it's like the color of a perfectly toasted marshmallow) jeep and get a chicken sandwich and some coleslaw. The app is so clean and so... so... desirable! 
Could it have a kids menu? Yes. Could it give me the option to remove ice from my drink? Yes. Could the developer make it a little more personalized? Like a 'good morning, I hope you get that promotion today' (bc I know the internet knows all my info anyways 🙄).. yes 
But overall, I give the app 5 stars in general. But for the sake of specificity, I give it 4.765 stars. 
You all should be proud of yourselves, mucho props (it was about time) and my 2021 has definitely gotten better from the discovery of this app and all that is has to offer 
It's even better than Barack Obama eating pineapple on his pizza... I said what I said 🤷🏻‍♀️","I am a s t o u n d e d! Flabbergasted, really.",5,False,2021-03-16 04:05:43,,KFC
1,Tj hhii,The app desperately needs work. It’s missing a lot of menu items. I had assumed they were removed from the menu so ordered different then a then what I actually wanted. So when I got there I seen the actual menu and was disappointed with what I got because everything I wanted was still available. Just not in the app. Also ordered sauces with the app get charged for it. Get up to drive through window they ask did I want any sauces I said no just the ones I ordered with the app. The employees informed me they can’t actually see what sauces I requested. So if they didn’t as or I just assumed it was good. I would have paid for sauces and not received them. Disappointing because I act find using apps to order more convenient. Rather then siting at the menu board try to order food and after each item being asked is that all. For real is it so common for people to just say an item and sit silently waiting to be asked if that all. That now it’s gotten so bad that people can’t take more then half a second to say the next item before being interrupted with is that all. No I will say and that’s all at the end of my order thank you very much.,It works kinda,1,False,2021-06-26 19:40:24,,KFC
2,ponchinator,Awful app does not change wait time what so ever I go into kfc EVERY-TIME I end up WAITING AND WAITING AND WAITING either as a customer or a doordasher I get frustrated because as a customer I am going to a fast food place hungry expecting to get my food FAST and I end up waiting 30-45 minutes for a few pieces chicken why would I do that when I can go to any nicer restaurant and dine in and order food and probably wait a shorter amount of time for a whole dine in entree. As a doordasher it’s beyond frustrating because I am on a roll with good earnings for the day and I am motivated to continue BUT THEN I go to Kfc and everything changes I end up losing my whole momentum just because I decided to accept a doordash order from kfc I end up waiting over 30 minutes!!! Keep in mind in that time I’ve just been waiting I don’t get paid I get a bad review instead for taking too long because kfc doesn’t have any chicken ready but somehow it’s my fault and I can never explain it because it’s no contact delivery,I would delete it twice if I could,2,False,2021-10-09 14:36:04,,KFC
3,fastpitchdad13,"Placing the order took a little while to figure out but now that I’ve done it, it should be easy from now on.  I would recommend ordering from it.  There are promotional items ordering digitally that you won’t see at the store.  I was gifted a free order of large fries.  Other deals are also featured that are not offered except on the App. Plus, the order was ready for pickup when I arrived at the store.",The KFC APP IS WORTH IT,5,False,2021-12-11 20:31:23,"{'id': 26804346, 'body': 'Thank you for the 5-star review and happy you had a good experience with the app. ', 'modified': '2021-12-13T13:39:18Z'}",KFC
4,ThrownAwayAlready,"I ordered and fully paid for my food through the KFC app , only to be told when I arrived at the location that: 1) they didn’t have most of what I ordered on hand, and 2) I would have to call KFC’s 800 number to cancel the order and get a refund, as the local store has no way of doing that.

So this app basically takes your payment upfront and then messages your order to the local store with no way of the store confirming that they can actually provide what you want at the time you requested. And then you find out after you’ve driven to the restaurant whether or not you will actually get your food, AND whether or not you will have to (like me) sit on hold for 15 minutes to request a refund from their customer service department.
Picking up the phone and calling in your order to the local KFC would give you instant feedback on whether you can get what you want, without paying for food you can’t get upfront.
Do not waste time on this app.",Just call in your order,1,False,2021-05-09 09:35:24,,KFC
5,VRM25,"I had to say that my experience was definitely bad from downloading the app to picking up my order. 
I placed an order, it showed estimated pick up time, I gave another extra 10 minutes and went to pick up. Order was not ready in the tray. After a while, they handed me the order, I tried to look for my name but employee just gave it like she knew its mine. I stepped back, checked it and it was someone else’s order. I gave it back and waited. In the app, the ETA kept moving further. And later they got my order but were about to hand it over to a different customer, I had to step in and get mine. The interesting part with the app is, it still kept moving my order estimated time pick up further and further even next day like my order hasn’t been picked up yet. 

So I decided to delete the app because it’s better to just go in person and order.",Needs improvement. Employees need more knowledge.,2,False,2022-10-29 13:15:08,,KFC
6,chadclan,"I placed two orders from locations only 3.5 miles away from home. Shortly after placing each order I received a notification saying ""Oops, we could not process your order so we canceled it"". After the first cancelation I called the national customer service line and they could not see why the store could not process the order. They said the charge will fall off my account in a few days. I went ahead and ordered from a different store location and the same thing happened! It's my daughter's birthday and she wanted KFC but we'll have to wait until tomorrow to go to a restaurant.

At a minimum their corporate call center needs to know what's going on with each store. Then the app should display something saying ""This location is not processing mobile ordered right now""",Needs to display store order processing status,3,False,2022-07-15 02:30:20,,KFC
7,NMNavarr,"I've tried to use this app to order food on three separate occasions, but I've given up and gone in myself every single time. Several options from the menu are missing, including drinks: no root beer, no Dr. Pepper (it's actually available for selection all the way up until I choose my location), etc. even though you can order them all if you go there in-person. This issue seems to extend to the website as well. The meal options that they do offer give you no room for customization. If a meal comes with a medium drink and you want to upgrade to a large, too bad. The only way around it is to order every piece individually, which will cost significantly more than if you bought it as a meal. If there actually is a way to make changes, then it is incredibly well hidden and unintuitive compared to every other fast food app that I've used before.","Missing Menu Items, Terrible Customization",1,False,2021-11-18 23:55:28,,KFC
8,JWCG72,"First of all, KFC needs to learn a lesson it still hasn’t learned in decades of evolving fast food competition. Mainly being make things easier, cheaper and more accurate for your customer along with tasty food. KFC has mostly had tasty food. The prices for what you get are high for the most part due to lack of easily obtained deals in this app. Heck, I JUST saw an ad for a 3.99 chicken sandwich on TV and the deal isn’t even in the app???!!! There are literally NO app deals in the app whereas Wendy’s, McDonalds, Subway, Taco Bell etc ALL have app deal exclusives and some type of loyalty reward digital coupons. Apps should ALWAYS have the best deals. It’s the point of downloading them and gobbling up data and the time in using them. Loyalty rewards etc tied to the app as well. Come on KFC stop giving us reasons to go to Popeyes or Church’s instead.",Worst of all the major fast food chain apps by far,2,False,2021-11-07 01:06:23,,KFC
9,MF#1,"I give this app and the disorganized location on McCully Street in Honolulu very low marks. I submitted my order via the app at 6:07 pm and it told me my order would be ready at 6:13 pm. I arrive at 6:20 only to see the location changed my pick up time to 6:25, then 6:31, 6:41, 6:45 and 6:50 pm while I waited and waited and waited….I had even checked in to let the staff know I was here and was told I was 4 more orders away.  I told the staff I’d be waiting outside and to come get me when my order was ready. Of course no one did and the app NEVER told me when my order was actually ready. I checked again when the ready time again changed to 6:50 only to find out my order was waiting for me. Extremely disappointing experience- will think twice before using this app again!",Useless if app doesn’t tell us accurately when order is ready,2,False,2022-06-01 05:12:34,,KFC
