,date,isEdited,title,rating,review,userName,developerResponse,Company_name
0,2020-07-02 13:47:03,False,Terrible service,5,"I work at a large hospital and walk by McDonalds which is by the entrance to the hospital on my way in.  While in the parking garage I will place an order for two hot mocha McCafes for pick up on my app. I then walk to an area where I get a face mask and have my temperature taken then eneter the building.  This is around 8:00 am.  If I’m lucky someone will be behind the counter to help me.  My order is never ready and I always have to wait for my coffees to be made.  Meanwhile people are coming in behind me placing orders, getting their food and drinks and leaving.  There are also times when I walk into the restaurant and not only is no one behind the counter, no one is anywhere to be found, not even in the food prep area.  I have to call out or shout so someone will come out from a closed door to wait on me.  Then again I have to wait for my coffees to be made.  I got the McDonald's app hoping my order while placed in advance would be ready for me upon arrival.  Not once has it been.  I skip paying since the app has no problem taking my payment.  I wish your service was that efficient!  But it isn’t!  I have found my experiences dissapointing and frustrating!  A waste of time which has caused me on several occasions to be late for work!",Christa@TGH,,McDonalds
1,2022-11-02 17:52:33,False,Frequent user,3,"As a busy graduate student, this app was a life saver. I could always find something quick to choose from to snack on or eat; and my points would continue to add up. However like the prior poster, I could order on this app, and sometimes no one would even know you are waiting. I live outside the city of Douglas, but I also use it in my commutes to Sierra Vista and Tucson. One particular time I ordered from my main store location ( in fact the only one) here  in Douglas and ended up waiting 30 minutes. I still had to go into the store and ask for my order, upon which they  still owe me approximately $7 - $10 worth of food. Which at time, I did not care considering, I was waiting for an order ( but their customer  service was awful)I was going to pick up, but no one acknowledged my presence though my vehicle was parked in the pick up slot, no I am sorry…nothing. Top it off they gave me an incomplete order. After my 30 minute wait, I could less I just wanted out of there. 

Now I have had app for sometime - a year at least and now it does not want to work. I have not changed phones - I still have my I phone 12 pro max. Now every time I want to order using this app it tells me I have to log in, though I am on the homepage. It will not even show me the menu. I register my phone again, and I get to a screen that tell me page cannot load please try again later. So this app has essentially become useless overnight. What a disappointment.",AndreaBurns3,,McDonalds
2,2021-08-11 15:33:01,False,Don’t turn your screen off,2,"I recently had to place an order three times because the app timed out when my screen went to sleep. Thankfully it only charged me once. 
I placed the initial order on our way to the restaurant. My screen turned off on the way there after placing the order. When we arrived at the restaurant there was no record of my order in the app. My debit card was recently destroyed so Apple Pay was the only option until my new card came in. So I tried to place the order at the restaurant, but the entire app had timed out meaning I had to log in again. For some reason it wouldn’t log me in. I kept getting error messages. We were in a hurry so I had to leave the restaurant. The app started working again when we got home and since my husband had promised our toddler nuggets, I went back out to get the meal (I really didn’t mind). Since I was having issues ordering at the restaurant, I placed the order at home and then drove over. Again, the order was not on record. Thankfully the entire app didn’t time out and I was able to place the order at the restaurant. Took them 25 minutes to get my food out to the car.
I doubt I will use the app again. It was such a hassle and took so much longer than the drive through or even ordering through door dash. Other stores, like chick fil a, have figured out how to let people place an order before getting to the restaurant. It doesn’t seem like it’d be a difficult thing to do.",Jennysub,,McDonalds
3,2021-04-16 17:23:43,False,Unable to Even Use the App,1,"I don’t even know what more to do about this app... I guess I just won’t ever get to use the daily deals or use a mobile order since it has NEVER worked on my phone. I have an IPhone 12 Pro that has the newest software update and have tried over and over again to delete the app and re download without any success. Even before I got the 12 Pro I had the X and for over a year now I’ve always gotten a message when I tried logging in that said “Critical Error has Occurred, App needs to restart.” I tried logging into an existing account that I had created a few years back and got this message every single time so I tried signing up for a new account and still received this message. I contacted McDonald’s via phone and someone in their IT department said they would “pass along the information to their developers and hopefully with the next update it would be fixed.” Today I tried to re download the app again since it’s $1 fries for mobile users and I thought just maybe today it will work for me... nope! So now when I download the app it just completely crashed and doesn’t even load. I have missed out on so many deals and feel beyond frustrated that I can’t even do a mobile order for pickup. I researched online and other people have had this same issue without getting it resolved. You would think that with McDonald’s being one of the largest corporations in the world that they would have figured out all these bugs and issues by now. So disappointed 😡",Ashhart1020,,McDonalds
4,2021-09-28 00:13:38,False,"Terribly designed app, many stores not fully trained for the app",2,"For starters, I’m generally against fast food apps because it’s typically faster to just order it in the drive through but I thought I would give the McDonald’s app a shot since they have some pretty good deals. I just wish this app were designed a little better and the stores were a little better trained for mobile orders. One big problem I have is the unnecessary requirement to share your location. This just feels like a huge violation of privacy and for no gain. They want you to share your location and it actively uses it anytime you even open the app. I can kind of understand it so they can estimate when they need to prepare your order and I believe that is their reason, but; 1) if it already tracks your location why should you have to click in the app that you arrived at the restaurant? 2) since it is a fast food restaurant, most of the time your order should already be ready. I guess the app just guarantees it? The app actively tracks your location, and not request a location like it should if it wants that. The deals are kind of annoying because they cannot be combined and can only be used once per hour. Overall, the app just feels like a way for McDonald’s to steal your information and takes a lot of work to save $1. The app doesn’t even improve the ordering process because some stores will have problems finding your order",$aver of cash,"{'id': 25556930, 'body': 'We want to make the best Mobile App we can. Help us improve on this by replying here: https://www.mcdonalds.com/us/en-us/contact-us/mobile-app-questions.html\r\n', 'modified': '2021-10-07T21:52:33Z'}",McDonalds
5,2021-11-09 23:02:37,False,"Great in theory, not so much in execution.",3,"I’ve been using this app for a couple months now, and it has become increasingly frustrating. Yeah, you gain points quick and there are good deals on there, so overall I would say it’s worth having, but the glitches are too much. For starters, every single time I open my app (unless it’s multiple times in one day) it says I’ve been logged out due to an error, and have to log back in again. It is just a few clicks, but it’s beyond annoying, especially when you’re trying to get food from a fast food restaurant, well, fast. Secondly, there have been countless times I’ve had to completely redo an order because a promo/deal was not longer available at my location…even though it takes me literal minutes to order because most of my stuff is saved. If it was no longer available, why show it as an option? Finally, the stress with workers not wanting to honor deals when I don’t do mobile ordering is terrible. 90% of the time they scan a reward they say it’s not valid, just to have a manager have to come and tell them how to enter it manually because it’s an app issue not a promo issue. I’ve come to use it less and less because saving a couple bucks really isn’t always worth the frustration and work I have to put into something that supposed to streamline and make a process more efficient.",Mrs Thunder 21,,McDonalds
6,2022-06-04 16:39:23,False,Poor connection protocol,5,"About a month ago I began experiencing problems with my McDonald’s app. I was asked by the app to connect a credit card to the account which I had already done. Every time I tried to get in I was reminded to try to connect a credit card. After many attempts attempts to correct this I finally decided I would try to connect a card. Once I did that the app has gone into a new mode where every time I open it it wants to take me through several iterations I’m trying to sign in when before I was automatically signed in once I open the app. Now it takes 4 or 5 attempts to get through the “use PayPal,… use email” questions. Even when it opens up and asks for a fingerprint and accepts the fingerprint, it will still try take me through the “use …” steps.  Once I try going through the steps it will cycle back around to the “use…” menu and the whole thing starts over again.  I have deleted the app and reloaded it but it does the same thing. I have tried to get to a real customer support person but have been unable to find the link. I am about to delete my app and start over but am unsure what will happen to the points I have accumulated.  Is there anyone I can talk to about this?",vpgck,"{'id': 30195480, 'body': ""we're here to help you out. hit our team up through the link, so we can get to the bottom of this: https://www.mcdonalds.com/us/en-us/contact-us/mobile-app-questions.html  \r\n"", 'modified': '2022-06-06T16:03:08Z'}",McDonalds
7,2021-11-19 19:57:33,True,“Upgraded” but still far from perfect,2,"It’s mind-boggling how an app is promoted for a fast food joint but yet not have everything on the App Menu as the “restaurant” would. I searched through the app, through the “deals” and it was simply not there. I go to the “restaurant” and it’s available as an option. The two need to be synced for optimal experience for the user. Update (1) - now when you Checkout and state you are at the location for pickup, it wouldn’t allow for me to select an option of how I want to pick up (curbside, drive-thru, etc.). Small item as such needs to be fixed.
Update (2) - now it seems the Meals are “synced” along with the option of how to pick up BUT one outstanding issue still remains - When the location is to make the food. It won’t allow you to do it while on route or close by. Nope. You have to select it while you are in the parking lot of the location. Why is that bad? Because when you select to pick up in store, the food is still not ready. At times, the folks on the line get their food first still. Pickup for Drive-thru…well you would have to wait if there is a long line (still!). “Curbside” - similar issue as pick-up in-store option. Food is not yet ready.

Another main competitor allows for the food to be made ahead of time - when the user selects it. Make that happen and you may just get a 5-star rating. Until then. There are still better apps out there.",B1G82307,"{'id': 10574860, 'body': ""We're sorry to hear about this! We’d love to help you with a solution. Please share more details with our Mobile App team at https://www.mcdonalds.com/us/en-us/contact-us/mobile-app-questions.html. Thanks!"", 'modified': '2021-11-19T19:57:34Z'}",McDonalds
8,2021-03-07 17:53:47,False,Beware of changes,5,"The McDonald’s app has been great generally over the years. But when they change it you lose earned rewards. I’ve done so many times, the worst recentlyWhen they changed from my café rewards to the regular McDonald’s rewards. In the past for every five coffee drinks you bought you would get one free. I had bought coffee almost daily on my way to work and hardly ever redeemed them. At one time I had over 28 or 29 mccafé coffee’s to redeem. Even though the expiration date had passed one day I noticed seven or eight of them had disappeared. So I started using them. I built them up again and again and use them here and there. Maybe a month ago I had 22 Mccafé drinks and they change the app again to rewards instead of the café drinks. I checked the app and I were seven showing four or five of which had to be redeemed within a few days or they would disappear/expire. I didn’t have time to use the mall and ended up losing four or five of those. If you figure those drinks run an average of 4 to 5 dollars each and lost a couple hundred dollars and drinks over the years. And I bought a couple hundred coffees  a year from McDonald’s. For many years... this has made me much less trusting of the McDonald’s app.",ajfred3,,McDonalds
9,2022-10-14 02:04:05,False,This app is awful,1,"I have spent the last several months trying to get this app to work. I have emailed at least six times and have only received a canned response that I may be entering my email wrong and that is why I get an error message stating that I need to enter a valid email to sign in. The automated response says to call if I continue to have trouble. I have done this. They take all my info and note the issue I am having. They say they will elevate to IT department. The only response I get is a confirmation email that they have noted my issue. This is ridiculous. If you can’t fix the issue say so. Just stop sending auto replies without helping. I can’t score points or use your app. I obviously have an account since you send me emails but I can’t sign and you never respond to me except for ads and generic auto replies when I contact customer service. Then I contact you by phone and they can’t figure out the problem and say someone will contact me. No one ever does. I have been doing this for nearly 2 years and nothing has ever been resolved. I have never been able to sign onto the app or add any points and you don’t seem to care that your customer service is inconsistent, unreliable and ineffective. You don’t care about losing a customer even though each one should matter. I don’t know why you keep emailing me when I can’t do anything with this. It’s a waste of my time and energy contacting you about this ongoing issue.",Eddie 615,"{'id': 32590822, 'body': ""let's get you logged back in, Eddie! try uninstalling and reinstalling the app. if this doesn't work, send us a chat here: https://www.mcdonalds.com/us/en-us/contact-us/mobile-app-questions.html"", 'modified': '2022-10-15T16:53:09Z'}",McDonalds
10,2018-07-02 03:21:26,False,It’s coming along,4,"Regular updates actually do make improvements to ordering (really glad to see drinks ordered by type in the latest update instead of a ten page long menu of every drink in every size), and the CS team was responsive the one time I contacted them.

The sheer scale of McDonald’s locations almost makes a single app a foolhardy idea, but this one works a lot of the time. When it does, it’s fantastic - I like being able to see what’s on a sandwich and specify no (or extra) of a topping, and the Deals are often really good. I also love being able to park in a curbside spot and wait with my radio and AC, rather than wait in the store or at the drive thru lane.

The problem is the menu in the app, which appears to cover all markets and includes items my local stores don't offer. Sometimes it stops you before you place the order, and other times the order just errors out with no explanation. So be wary of ordering any items you wouldn't see on the store's displayed menu, like Sweet Chili or Szechuan dipping sauces, or the Oreo Frappe, which is in there even though my local stores act like it doesn't exist. (And come on, just make me a Mocha Frappe and sprinkle some Oreo crumbs from the Flurry station in it. It's not like the ice cream machine is working today anyway.)",Britain W.,"{'id': 4110001, 'body': ""We're so excited you feel that way! Thanks for exploring our awesome app!"", 'modified': '2018-07-05T17:38:11Z'}",McDonalds
